remove_stop_words;permitted_tags;perform_ordering;use_word_sense;similarity_measure;similarity_threshold;type_of_replacement;jaccard_threshold;accuracy;recall;precision;f_measure
True;VERB NOUN ADJ;True;True;jcn;0.1;keep_unique;0.1;0.623159960746;0.576825281511;0.810617662072;0.6740237691
True;VERB NOUN ADJ;True;True;jcn;0.1;keep_unique;0.3;0.456820412169;0.217217580821;0.910197869102;0.35073313783
True;VERB NOUN ADJ;True;True;jcn;0.1;keep_unique;0.5;0.374386653582;0.0766436614602;0.963470319635;0.14199192463
True;VERB NOUN ADJ;True;True;jcn;0.1;keep_unique;0.7;0.343719332679;0.0290592081366;0.975609756098;0.0564373897707
True;VERB NOUN ADJ;True;True;jcn;0.1;keep_unique;0.9;0.335377821394;0.0159825644751;1.0;0.0314622810154
True;VERB NOUN ADJ;True;True;jcn;0.5;keep_unique;0.1;0.622423945044;0.576462041409;0.809693877551;0.673456397199
True;VERB NOUN ADJ;True;True;jcn;0.5;keep_unique;0.3;0.456820412169;0.217217580821;0.910197869102;0.35073313783
True;VERB NOUN ADJ;True;True;jcn;0.5;keep_unique;0.5;0.374386653582;0.0766436614602;0.963470319635;0.14199192463
True;VERB NOUN ADJ;True;True;jcn;0.5;keep_unique;0.7;0.343719332679;0.0290592081366;0.975609756098;0.0564373897707
True;VERB NOUN ADJ;True;True;jcn;0.5;keep_unique;0.9;0.335377821394;0.0159825644751;1.0;0.0314622810154
True;VERB NOUN ADJ;True;True;jcn;0.9;keep_unique;0.1;0.622423945044;0.576462041409;0.809693877551;0.673456397199
True;VERB NOUN ADJ;True;True;jcn;0.9;keep_unique;0.3;0.456820412169;0.217217580821;0.910197869102;0.35073313783
True;VERB NOUN ADJ;True;True;jcn;0.9;keep_unique;0.5;0.374386653582;0.0766436614602;0.963470319635;0.14199192463
True;VERB NOUN ADJ;True;True;jcn;0.9;keep_unique;0.7;0.343719332679;0.0290592081366;0.975609756098;0.0564373897707
True;VERB NOUN ADJ;True;True;jcn;0.9;keep_unique;0.9;0.335377821394;0.0159825644751;1.0;0.0314622810154
True;VERB NOUN ADJ;True;True;res;0.1;keep_unique;0.1;0.633709519136;0.62549945514;0.788461538462;0.69758962933
True;VERB NOUN ADJ;True;True;res;0.1;keep_unique;0.3;0.468351324828;0.238648746822;0.902472527473;0.377477736283
